Vancouver,Vancouver,BC,British Columbia,49.25,-123.1,2264823.0,5492.6,America/Vancouver,1,V6Z V6S V6R V6P V6N V6M V6L V6K V6J V6H V6G V6E V6C V6B V6A V5S V5P V5Z V5N V5L V5M V5K V5V V5W V5T V5R V5X V5Y,1124825478
Surrey,Surrey,BC,British Columbia,49.19,-122.8489,517887.0,1636.8,America/Vancouver,2,V4A V4N V4P V3R V3S V3T V3V V3W V3X V3Z,1124001454
Victoria,Victoria,BC,British Columbia,48.4283,-123.3647,335696.0,4406.3,America/Vancouver,1,V8T V8W V8S V8R V9A V8V,1124147219
Burnaby,Burnaby,BC,British Columbia,49.2667,-122.9667,232755.0,2568.7,America/Vancouver,2,V5B V5G V5E V5C V5J V5H V5A V3J V3N,1124817304
Richmond,Richmond,BC,British Columbia,49.1667,-123.1333,198309.0,1534.1,America/Vancouver,2,V6Y V6X V6W V6V V7E V7A V7B V7C,1124121940
Kelowna,Kelowna,BC,British Columbia,49.8881,-119.4956,142146.0,601.3,America/Vancouver,2,V1X V1Y V1P V1W V1V,1124080626
Abbotsford,Abbotsford,BC,British Columbia,49.05,-122.3167,141397.0,376.5,America/Vancouver,2,V4X V2S V2T V3G,1124808029
Coquitlam,Coquitlam,BC,British Columbia,49.2839,-122.7919,139284.0,1138.9,America/Vancouver,2,V3B V3C V3E V3J V3K,1124000500
Langley,Langley,BC,British Columbia,49.1044,-122.5827,117285.0,380.8,America/Vancouver,2,V1M V4W V2Z V2Y V3A,1124000480
Saanich,Saanich,BC,British Columbia,48.484,-123.381,114148.0,1099.9,America/Vancouver,2,V8N V8X V8Z V8P V8R V9A V9E V8Y,1124000949
Delta,Delta,BC,British Columbia,49.0847,-123.0586,102238.0,567.4,America/Vancouver,2,V4C V4E V4G V4K V4M V4L,1124001200
Kamloops,Kamloops,BC,British Columbia,50.6761,-120.3408,100046.0,301.7,America/Vancouver,2,V1S V2C V2B V2E,1124735582
Nanaimo,Nanaimo,BC,British Columbia,49.1642,-123.9364,90504.0,918.0,America/Vancouver,3,V9R V9S V9V V9T,1124623893
North Vancouver,North Vancouver,BC,British Columbia,49.3641,-123.0066,85935.0,534.6,America/Vancouver,3,V7P V7R V7L V7N V7H V7J V7K V7G,1124000146
Chilliwack,Chilliwack,BC,British Columbia,49.1577,-121.9509,83788.0,320.2,America/Vancouver,3,V4Z V2R V2P,1124531262
White Rock,White Rock,BC,British Columbia,49.025,-122.8028,82368.0,3893.1,America/Vancouver,2,V4B,1124260555
Maple Ridge,Maple Ridge,BC,British Columbia,49.2167,-122.6,82256.0,308.3,America/Vancouver,3,V4R V2W V2X,1124001699
Prince George,Prince George,BC,British Columbia,53.9169,-122.7494,74003.0,232.5,America/Vancouver,3,V2K V2N V2M V2L,1124733292
New Westminster,New Westminster,BC,British Columbia,49.2069,-122.9111,70996.0,4543.4,America/Vancouver,2,V3L V3M,1124196524
Port Coquitlam,Port Coquitlam,BC,British Columbia,49.2625,-122.7811,58612.0,2009.4,America/Vancouver,2,V3B V3C,1124473757
Vernon,Vernon,BC,British Columbia,50.267,-119.272,44600.0,417.7,America/Vancouver,3,V1T V1H,1124553338
Duncan,Duncan,BC,British Columbia,48.7787,-123.7079,44451.0,2387.1,America/Vancouver,2,V9L,1124316061
West Vancouver,West Vancouver,BC,British Columbia,49.3667,-123.1667,42473.0,486.8,America/Vancouver,3,V7T V7V V7S,1124001824
Mission,Mission,BC,British Columbia,49.1337,-122.3112,38833.0,170.6,America/Vancouver,3,V4S V2V,1124502601
Langford Station,Langford Station,BC,British Columbia,48.4506,-123.5058,35342.0,885.0,America/Vancouver,3,V9B V9C,1124095065
Campbell River,Campbell River,BC,British Columbia,50.0244,-125.2475,35138.0,1143.9,America/Vancouver,3,V9H V9W,1124851971
Penticton,Penticton,BC,British Columbia,49.4911,-119.5886,33761.0,801.8,America/Vancouver,3,V2A,1124613898
Port Moody,Port Moody,BC,British Columbia,49.2831,-122.8317,33551.0,1295.9,America/Vancouver,3,V3H,1124252668
East Kelowna,East Kelowna,BC,British Columbia,49.8625,-119.5833,32655.0,264.4,America/Vancouver,3,V1Z V4T,1124070905
North Cowichan,North Cowichan,BC,British Columbia,48.8236,-123.7192,29676.0,147.3,America/Vancouver,3,V0R V9L,1124000052
Courtenay,Courtenay,BC,British Columbia,49.6878,-124.9944,25599.0,789.9,America/Vancouver,3,V9N,1124324905
Fort St. John,Fort St. John,BC,British Columbia,56.2465,-120.8476,20155.0,820.2,America/Dawson_Creek,3,V1J,1124517495
Squamish,Squamish,BC,British Columbia,49.7017,-123.1589,19512.0,186.1,America/Vancouver,3,V0N V8B,1124005958
Cranbrook,Cranbrook,BC,British Columbia,49.5097,-115.7667,19259.0,604.7,America/Edmonton,3,V1C,1124937794
Pitt Meadows,Pitt Meadows,BC,British Columbia,49.2333,-122.6833,18573.0,214.7,America/Vancouver,3,V3Y,1124786902
Oak Bay,Oak Bay,BC,British Columbia,48.4264,-123.3228,18094.0,1717.7,America/Vancouver,3,V8P V8S V8R,1124761730
Salmon Arm,Salmon Arm,BC,British Columbia,50.7022,-119.2722,17706.0,144.0,America/Vancouver,3,V0E V1E,1124478865
Port Alberni,Port Alberni,BC,British Columbia,49.2339,-124.805,17678.0,894.6,America/Vancouver,3,V9Y,1124952808
Esquimalt,Esquimalt,BC,British Columbia,48.4306,-123.4147,17655.0,2494.7,America/Vancouver,2,V9A,1124990218
Colwood,Colwood,BC,British Columbia,48.4236,-123.4958,16859.0,954.2,America/Vancouver,3,V9B V9C,1124000395
Central Saanich,Central Saanich,BC,British Columbia,48.5142,-123.3839,16814.0,406.8,America/Vancouver,3,V8M,1124000519
Terrace,Terrace,BC,British Columbia,54.5164,-128.5997,15723.0,212.7,America/Vancouver,3,V8G,1124878479
Comox,Comox,BC,British Columbia,49.6733,-124.9022,14828.0,838.2,America/Vancouver,3,V0R V9M,1124788300
Powell River,Powell River,BC,British Columbia,49.8353,-124.5247,13157.0,444.1,America/Vancouver,3,V8A,1124154376
Sooke,Sooke,BC,British Columbia,48.3761,-123.7378,13001.0,229.6,America/Vancouver,3,V9Z,1124034713
Dawson Creek,Dawson Creek,BC,British Columbia,55.7606,-120.2356,12978.0,475.4,America/Dawson_Creek,3,V1G,1124081402
Lake Country,Lake Country,BC,British Columbia,50.0833,-119.4142,12922.0,105.8,America/Vancouver,3,V4V,1124001544
Parksville,Parksville,BC,British Columbia,49.315,-124.312,12514.0,854.6,America/Vancouver,3,V9P,1124698963
Prince Rupert,Prince Rupert,BC,British Columbia,54.3122,-130.3271,12220.0,227.7,America/Vancouver,3,V8J,1124847707
Whistler,Whistler,BC,British Columbia,50.1208,-122.9544,11854.0,49.3,America/Vancouver,3,V0N,1124001562
Sidney,Sidney,BC,British Columbia,48.6506,-123.3986,11672.0,2290.7,America/Vancouver,2,V8L,1124421362
Summerland,Summerland,BC,British Columbia,49.6006,-119.6778,11615.0,156.8,America/Vancouver,3,V0H,1124400731
North Saanich,North Saanich,BC,British Columbia,48.6142,-123.42,11249.0,301.8,America/Vancouver,3,V8L,1124000779
Williams Lake,Williams Lake,BC,British Columbia,52.1294,-122.1383,10753.0,327.0,America/Vancouver,3,V2G,1124821980
Nelson,Nelson,BC,British Columbia,49.5,-117.2833,10664.0,1552.3,America/Vancouver,3,V1L,1124361295
View Royal,View Royal,BC,British Columbia,48.4517,-123.4339,10408.0,724.8,America/Vancouver,3,V9B,1124001985
Coldstream,Coldstream,BC,British Columbia,50.22,-119.2481,10314.0,155.6,America/Vancouver,3,V1B,1124000216
Sechelt,Sechelt,BC,British Columbia,49.4742,-123.7542,10200.0,212.9,America/Vancouver,3,V0N,1124845591
Quesnel,Quesnel,BC,British Columbia,52.9784,-122.4927,9879.0,279.2,America/Vancouver,3,V2J,1124028015
Qualicum Beach,Qualicum Beach,BC,British Columbia,49.35,-124.4333,8943.0,497.4,America/Vancouver,3,V9K,1124822520
Ladysmith,Ladysmith,BC,British Columbia,48.9975,-123.8203,8537.0,711.9,America/Vancouver,3,V9G,1124872385
Kitimat,Kitimat,BC,British Columbia,54.0,-128.7,8131.0,34.7,America/Vancouver,3,V8C,1124198272
Castlegar,Castlegar,BC,British Columbia,49.3256,-117.6661,8039.0,408.6,America/Vancouver,3,V1N,1124379972
Trail,Trail,BC,British Columbia,49.095,-117.71,7709.0,220.7,America/Vancouver,3,V1R,1124817036
Kimberley,Kimberley,BC,British Columbia,49.6697,-115.9775,7425.0,122.5,America/Edmonton,3,V1A,1124170837
Merritt,Merritt,BC,British Columbia,50.1128,-120.7897,7139.0,273.9,America/Vancouver,3,V1K,1124550302
Hope,Hope,BC,British Columbia,49.3858,-121.4419,6181.0,151.0,America/Vancouver,3,V0X,1124662863
Kent,Kent,BC,British Columbia,49.2833,-121.75,6067.0,35.9,America/Vancouver,3,V0M,1124001999
Peachland,Peachland,BC,British Columbia,49.7736,-119.7369,5428.0,340.1,America/Vancouver,3,V0H,1124440160
Northern Rockies,Northern Rockies,BC,British Columbia,59.0,-123.75,5393.0,0.063,America/Fort_Nelson,3,V0C,1124001362
Creston,Creston,BC,British Columbia,49.09,-116.51,5351.0,626.8,America/Creston,3,V0B,1124204302
Smithers,Smithers,BC,British Columbia,54.7819,-127.1681,5351.0,514.9,America/Vancouver,3,V0J,1124191574
Fernie,Fernie,BC,British Columbia,49.5042,-115.0628,5249.0,388.8,America/Edmonton,3,V0B,1124927114
Spallumcheen,Spallumcheen,BC,British Columbia,50.4462,-119.2121,5106.0,20.0,America/Vancouver,4,V0E,1124001340
Osoyoos,Osoyoos,BC,British Columbia,49.0325,-119.4661,5085.0,598.2,America/Vancouver,3,V0H,1124713973
Oliver,Oliver,BC,British Columbia,49.1844,-119.55,4928.0,896.0,America/Vancouver,3,V0H,1124145879
Armstrong,Armstrong,BC,British Columbia,50.4483,-119.1961,4830.0,927.7,America/Vancouver,3,V0E,1124201947
Metchosin,Metchosin,BC,British Columbia,48.3819,-123.5378,4708.0,66.2,America/Vancouver,3,V9C,1124625175
Gibsons,Gibsons,BC,British Columbia,49.4028,-123.5036,4605.0,1066.0,America/Vancouver,3,V0N,1124342069
Vanderhoof,Vanderhoof,BC,British Columbia,54.0143,-124.0089,4439.0,81.0,America/Vancouver,3,V0J,1124100075
Grand Forks,Grand Forks,BC,British Columbia,49.0333,-118.44,4274.0,388.1,America/Vancouver,3,V0H,1124547325
Port Hardy,Port Hardy,BC,British Columbia,50.7225,-127.4928,4132.0,106.7,America/Vancouver,3,V0N,1124937351
Sparwood,Sparwood,BC,British Columbia,49.7331,-114.8853,3784.0,19.4,America/Edmonton,3,V0B,1124001718
Cumberland,Cumberland,BC,British Columbia,49.6206,-125.0261,3753.0,128.9,America/Vancouver,3,V0R,1124658693
Rossland,Rossland,BC,British Columbia,49.0786,-117.7992,3729.0,62.4,America/Vancouver,3,V0G,1124850810
Mackenzie,Mackenzie,BC,British Columbia,55.3381,-123.0944,3714.0,22.6,America/Vancouver,3,V0J,1124001437
Golden,Golden,BC,British Columbia,51.3019,-116.9667,3708.0,325.0,America/Edmonton,3,V0A,1124428625
Bowen Island,Bowen Island,BC,British Columbia,49.3833,-123.3833,3680.0,73.4,America/Vancouver,3,V0N,1124000418
Fruitvale,Fruitvale,BC,British Columbia,49.1161,-117.5414,3627.0,1363.5,America/Vancouver,3,V0G,1124854890
Westbank,Westbank,BC,British Columbia,49.8423,-119.6743,3581.0,80.6,America/Vancouver,4,V4T,1124001101
Lumby,Lumby,BC,British Columbia,50.2494,-118.9656,3500.0,379.5,America/Vancouver,3,V0E,1124173367
Invermere,Invermere,BC,British Columbia,50.5083,-116.0303,3391.0,315.9,America/Edmonton,3,V0A,1124839399
Lake Cowichan,Lake Cowichan,BC,British Columbia,48.8258,-124.0542,3226.0,369.6,America/Vancouver,3,V0R,1124082843
Ellison,Ellison,BC,British Columbia,49.9646,-119.3178,3094.0,37.6,America/Vancouver,4,V1X V1P,1124000194
Houston,Houston,BC,British Columbia,54.3975,-126.6419,2993.0,41.0,America/Vancouver,3,V0J,1124993327
Enderby,Enderby,BC,British Columbia,50.5508,-119.1397,2964.0,695.8,America/Vancouver,3,V0E,1124312550
Cedar,Cedar,BC,British Columbia,49.0853,-123.8259,2836.0,83.8,America/Vancouver,4,V9X,1124000187
Princeton,Princeton,BC,British Columbia,49.4589,-120.506,2828.0,47.4,America/Vancouver,3,V0X,1124790102
Errington,Errington,BC,British Columbia,49.2874,-124.3433,2677.0,97.4,America/Vancouver,4,V0R V9P,1124001138
Chetwynd,Chetwynd,BC,British Columbia,55.6972,-121.6333,2635.0,43.1,America/Dawson_Creek,3,V0C,1124001005
